BoilerID,BoilerType,Capacity,ImprovementTech,LifeTime,FuelName,FuelType,Burner,SteamRate[kg/hr],SteamPressure[bara],TDS_feedWater[ppm],TDS_blowdown[ppm],FlueGasTemp[`C],O2[%],CO[ppm],CO2[%],FeedWaterRate[kg/hr],BlowdownRate[kg/hr],FeedWaterTemp[`C],FuelFlowRate_aft[kg/hr],HHV_AR[kJ/kg],???????????
19202-0003-2,fire tube,10,????????????????????,6,??????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,5712,8.9,10,850,196.2,7.12,56,7.65,5780,68,91.5,940.49,20150,YES
10420-1015-2,water tube,45,,3,???????????,Solid,  overfeed stoker (Vibrating Grate Stoker),40380,43,25,1450,187.5,8.4,835.63,,40380,696.2068966,100,13125,10852.4,NO
29309-1052-1,fire tube,4.2,"Economizer, ????????????????????",8,Natural Gas,Gas, ???????????????????? (Nozzle-mix burner) ,393.02,4.8,1236,11640,193.22,2.57,35.32,10.44,439.71,46.69085567,64.6,25.59,47794.41,NO
17099-0008-1,fire tube,10,????????????????????,15,?????????,Solid,  Circulating fluidized bed,3650,9.6,150,3200,210,10.2,320,5.6,3800,178.125,127,536.75,21143.07664,YES
24109-0005-1,fire tube,6.5,????????????????????,27,???????????,Liquid,??????????????????? (Pressure Atomized)  ,2081.412903,6.5,42,3100,166.9,5.6,70,10.53,2110,28.58709677,75,144.98,43192.79,YES
10502-0006-1,fire tube,13,,22,NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,5769.54184,8,85,1630,166.32,8.65,0,7.12,6086.96,317.4181595,88.9,338.55,50000,YES
10502-0006-2,fire tube,13,,22,NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,5952.695429,8,85,1630,158.48,6.75,0,14.25,6280.19,327.4945706,88.9,333.65,50000,YES
17099-0007-1,water tube,120,"Economizer, ????????????????????",23,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,61560,82.24,3,12,239.11,7.32,48.74,12.39,62727.88,15681.97,132.43,11000,21115.98125,YES
17099-0007-2,water tube,120,"Economizer, ????????????????????",23,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,63540,82.3,3,12,236.67,10.51,54.54,9.19,64615.2,16153.8,132.99,12310,21115.98125,YES
22199-0041-1,water tube,15,Economizer,6,?????????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,5190.763547,8.7,135,2743.07,142.88,13.54,296.5,7.44,5459.45,268.6864535,50,1298.43,14032.66135,YES
10301-0008-1,water tube,10,,3,?????????,Liquid,??????????? ????????? (Steam or Air Atomized)  ,2186.4,8,32,1121.8,178.7,5.5,1.4,12.2,2871.4,81.90836156,31.5,341.25,43303.98718,YES
10301-0008-2,water tube,6,,17,????????? C,Liquid,??????????? ????????? (Steam or Air Atomized)  ,1844.8,7.9,34,337.8,197.2,5.2,1.7,12.1,2871.4,289.0100651,34.2,222.5,43303.98718,NO
10212-1019-1,fire tube,5,Oil Heater,4,????????? C,Liquid,??????????????????? (Pressure Atomized)  ,3954.78,7.67,257,3646,307.63,2.9,3.8,13.61,4339.32,305.8708832,68.13,302.87,43281.11,YES
10112-0003-1,fire tube,3,????????????????????,14,LPG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,1767.641296,5.8,1379,13730,214.7,4.2,0,11,1965,197.3587036,80,94.71,50150,YES
11011-0004-2,fire tube,10.96,"????????????????????, Oil Heater",34,????????? C,Liquid,??????????????????? (Pressure Atomized)  ,4950,7,7.47,718.5,186.53,5.72,0,11.48,4950,51.46346555,98,309.24,44087,NO
10211-0003-1,fire tube,10,,50,????????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,2805.21,8.5,210,1075,210.2,4.5,18,14.35,3486.24,681.0329302,40,530.52,45095.48,NO
10211-0003-2,fire tube,6,,23,????????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,1310.74,8.5,210,994,197,12.29,55,6.84,1661.83,351.0908451,40,252.89,45095.48,YES
10742-0008-1,hybrid,20,"Economizer, ????????????????????",3,???????????????? ,Solid,  overfeed stoker (Step/pushing/dumping Grate Stoker),11666.67,9.3,10.2,2138.4,181.41,8.43,86.1,11.97,11666.67,55.64909933,115,1836.89,21235.23996,NO
32301-0006-1,water tube,15,Economizer,5,?????????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,4937.25704,8.7,158,2598.57,233,13.46,148.87,7.53,5256.89,319.6329597,105,1184.78,14032.66135,YES
10801-0030-1,water tube,22,"Economizer, ????????????????????",14,???????,Solid,  overfeed stoker (Fixed/Inclined Grate) - ???????????,6826.131515,8.3,27,909.4,153.1,10.5,948.9,6.6,7035,208.8684847,104.5,1250,24477.5877,YES
11043-1001-1,fire tube,15,"Economizer, ????????????????????",6,???????????? NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,3800,9,50,1360,177.07,5.25,0,6.01,4000,147.0588235,120,210.86,45207.27,YES
11043-1001-3,fire tube,10,"Economizer, ????????????????????",6,???????????? NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,5500,8.9,50,1520,197.61,2.95,0,10.13,5500,180.9210526,105,316.7,47735.44,YES
11043-1001-4,fire tube,15,"Economizer, ????????????????????",6,???????????? NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,4153.85,9,30,2140,185.53,4.26,0,9.49,4153.85,58.23154206,125,250.93,47735.44,YES
